Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"Andrew, LucasLJA",Harnessing Structural Colour in Cellulose Nanocrystals for Biodegradable Photonic Elastomer Materials,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Andrews, Jeffrey",Topics in unsupervised statistical learning,"18,000",2022-2023,Discovery Grants Program - Individual
"Angel, Omer",Applications of random graphs and walks,"74,000",2022-2023,Discovery Grants Program - Individual
"Angert, Amy",Testing how species interactions and evolution accelerate or decelerate climate-driven range shifts,"63,807",2022-2023,Discovery Grants Program - Individual
"Angert, Amy",Evolutionary Ecology,"200,000",2022-2023,Canada Research Chairs
"Anholt, HeatherHR",A One Health Approach to Investigating the Ecology of Trypanosomiasis in Malawian Wildlife,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Anholt, HeatherHR",A One Health Approach to Investigating the Ecology of Trypanosomiasis in Malawian Wildlife,"6,000",2022-2023,Canadian Graduate Scholarships Foreign Study Supplements
"Anstee, Richard",Extremal Combinatorics,"32,000",2022-2023,Discovery Grants Program - Individual
"AokiCerri, Ronaldo",Estrus and Data Science: Implications to the Pre-implantation Endometrium Biology and Genomic Selection,"40,000",2022-2023,Discovery Grants Program - Individual
"Applegarth, GabrielleGK",Climate resilient organic vegetable production,"6,000",2022-2023,University Undergraduate Student Research Awards
"Arcese, Peter","Ecology, evolution, and adaptation in small populations","55,000",2022-2023,Discovery Grants Program - Individual
"ArchibaldOrozco, JessicaJAO",Identifying neurotransmitter patterns in response to sensory stimulation in the brain,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Ardestanijaafari, Amir",Adjustable Robust Optimization and its Applications,"31,000",2022-2023,Discovery Grants Program - Individual
"Arjmand, Mohammad",Advanced 3D Printed Conductive Polymer Nanocomposites toward Electromagnetic Interference Shielding,"28,000",2022-2023,Discovery Grants Program - Individual
"Arjmand, Mohammad",Advanced Materials and Polymer Engineering,"120,000",2022-2023,Canada Research Chairs
"Arjmand, MohammadMA",Advanced electromagnetic shields for unmanned ground and aerial vehicle platforms,"86,777",2022-2023,Alliance Grants
"Arjmand, MohammadMA",Plastic Recycling Network towards Affordable 3D Printed Homes,"261,500",2022-2023,Alliance Grants
"Arjmand, MohammadMA",Synthesis of Graphene Nanomaterials and Development of Their Multifunctional Polymer Nanocomposites,"88,000",2022-2023,Alliance Grants
"Arnold, MorganMR",Heuristic techniques for noise-aware qubit placement,"6,000",2022-2023,University Undergraduate Student Research Awards
"Aronson, Meigan","Quantum Criticality: Topology, Order, and Metallicity","50,000",2022-2023,Discovery Grants Program - Individual
"Ascher, Uri","Computational methods involving differential equations in computer graphics, machine learning and inference problems","41,000",2022-2023,Discovery Grants Program - Individual
"Asgarli, ShamilS",Arithmetic Geometry and Dynamics over Finite Fields,"7,500",2022-2023,Postdoctoral Fellowships
"Asselin, Edouard",Aqueous Processing of Metals,"100,000",2022-2023,Canada Research Chairs
"Asselin, EdouardRPE",Effect of soil backfill interactions on the corrosion and abrasion resistance of buried pipeline coatings,"144,700",2022-2023,Alliance Grants
"Atkinson, StephenSH",Process Simulation of Thermoplastic Composite Continuous Resistance Welding,"6,000",2022-2023,Canadian Graduate Scholarships Foreign Study Supplements
"AugerMéthé, Marie",Statistical Ecology,"120,000",2022-2023,Canada Research Chairs
"AugerMéthé, Marie","Linking space use, individual fitness, and population dynamics to quantify the conservation value of geographic areas","58,000",2022-2023,Discovery Grants Program - Individual
"AugerMéthé, MarieME",Effects of environmental change on the space use and population dynamics of two Arctic whale species,"15,000",2022-2023,Discovery Grants Program - Northern Research Supplement
"Auld, Vanessa",Genetic dissection of peripheral glia and glial sheath development,"42,000",2022-2023,Discovery Grants Program - Individual
"Aviles, Leticia",Spider sociality and community assembly,"40,000",2022-2023,Discovery Grants Program - Individual
"Ayadiuno, SolumtobechukwuSMA",Design and develop a new electrooculography measuring sensor for eye movement recording of infants,"6,000",2022-2023,University Undergraduate Student Research Awards
"Baanstra, JadeJA",Do Toxoplasma gondii-infected gulls differ in their behaviour and reproductive success?,"6,000",2022-2023,University Undergraduate Student Research Awards
"Baanstra, JadeJA",Predator and Prey Interactions as Seen Through the Eyes of GPS Movement Data,"4,060",2022-2023,Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement
"Babel, Molly",Competition and evaluation in perceptual learning of speech,"58,000",2022-2023,Discovery Grants Program - Individual
"Babin, AlexandreA",Microwave-assisted pyrolysis of biomass in a pilot scale fluidized bed reactor,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Bacca, Mattia",Advanced bio-inspired adhesive materials,"46,000",2022-2023,Discovery Grants Program - Individual
"Bachmann, Sven",Interacting dynamics and exotic phases of quantum lattice systems,"46,000",2022-2023,Discovery Grants Program - Individual
"Bai, PamelaPY",The role of betaglucuronidase enzymes in prostate gland,"6,000",2022-2023,University Undergraduate Student Research Awards
"Bains, KaranPartapKP",Testing proposed mechanisms of Type II Diabetes onset using ODE models,"6,000",2022-2023,University Undergraduate Student Research Awards
"Bajaj, HitashaH",Glucocorticoid Production by Microglia of the Neonatal and Adult Mouse Brain,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Baldwin, Susan",Bioremediation of mine-affected water,"56,000",2022-2023,Discovery Grants Program - Individual
"Balmforth, Neil",Mathematical modelling of fluid flow,"46,000",2022-2023,Discovery Grants Program - Individual
"Bamber, NicoleNS",Optimizing the coupled resource and nutrient efficiency of agricultural land use and product allocation,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Banthia, Nemkumar","SAFE, SUSTAINABLE AND DIGITALLY-MONITORED CONCRETE STRUCTURES FOR SMART CITIES","159,000",2022-2023,Discovery Grants Program - Individual
"Banthia, NemkumarNP","Development of carbon-neutral, multiphase composite coatings (MCC) and their robotic placement technologies for corrosion protection and rehabilitation of sewer systems","216,000",2022-2023,Alliance Grants
"Barbeito, Ignacio",Mixed forests management for enhancing adaptation to climate change,"12,500",2022-2023,Discovery Launch Supplement
"Barbeito, Ignacio",Mixed forests management for enhancing adaptation to climate change,"38,000",2022-2023,Discovery Grants Program - Individual
"Barker, Philip",Dissecting Roles for Drosophila TNF and TNF Receptors in Regulating Neuronal Morphology,"36,000",2022-2023,Discovery Grants Program - Individual
"Barker, Shaun",Controls on fluid flow and metal deposition in sediment-hosted hydrothermal ore deposits,"36,000",2022-2023,Discovery Grants Program - Individual
"Barker, ShaunSLL","Fingerprinting favourable volcanic horizons for precious and critical metal deposits in the Golden Triangle, British Columbia","251,673",2022-2023,Alliance Grants
"Barker, ShaunSLL",Porphyry fertility and vectoring at the belt to deposit scale in British Columbia,"1,204,834",2022-2023,Alliance Grants
"Barnett, JacquelineJA","Examining the transgenerational effects of glyphosate exposure on the gut microbiome, inflammation and behaviour through modulation of the gut-brain-microbiota axis.","21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Baron, JenniferJN",Trajectories and drivers of landscape-level fire regime transitions over a century in southeastern British Columbia,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Barr, Alasdair",Understanding the role of dopamine antagonists on peripheral glucose regulation,"28,000",2022-2023,Discovery Grants Program - Individual
"Barrett, JeffJMB",Exploring the roles of active muscle stiffness and biological sex on the stability of the cervical spine,"45,000",2022-2023,Postdoctoral Fellowships
"Bashashati, Ali",Next Generation Machine Learning for the Accurate Detection of DNA Variations from High-Throughput Sequencing Data,"28,000",2022-2023,Discovery Grants Program - Individual
"Bauschke, Heinz","Douglas-Rachford splitting: static properties, asymptotic behaviour, variants, extensions and applications","45,000",2022-2023,Discovery Grants Program - Individual
"Bayasi, NourhanN",Towards Generalizable Continual Learning for Medical Image Analysis,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Beatty, John",Fundamental and applied studies of biological light-harvesting systems,"116,000",2022-2023,Discovery Grants Program - Individual
"Beck, Sara",Pathogen Reduction in Decentralized Water and Wastewater Treatment Technologies,"86,000",2022-2023,Discovery Grants Program - Individual
"Beck, Sara",Pathogen Reduction in Decentralized Water and Wastewater Treatment Technologies,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Beckie, Roger",Biogeochemical dynamics of contaminated groundwater systems,"25,000",2022-2023,Discovery Grants Program - Individual
"Belley, AntoineAB",Probing beyond standard model physics through ab initio calculations of exotic weak processes in atomic nuclei,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bennett, ErinEB",Controls on Crustal Magnetization Source Depths on Mars,"6,000",2022-2023,University Undergraduate Student Research Awards
"Bennett, Michael",Diophantine problems,"70,000",2022-2023,Discovery Grants Program - Individual
"Benoit, Michael",Design of novel crack-resistant aluminium alloys for additive manufacturing,"28,000",2022-2023,Discovery Grants Program - Individual
"BensonAmram, Sarah",How wildlife adapt to urban environments and the role of cognition in the success of urban wildlife,"33,000",2022-2023,Discovery Grants Program - Individual
"BensonAmram, Sarah",How wildlife adapt to urban environments and the role of cognition in the success of urban wildlife,"12,500",2022-2023,Discovery Launch Supplement
"Berbee, Mary",Fungus/plant evolution through deep geological time: Perspectives from analysis of fungal secreted enzymes and of living and fossil fungi on plant surfaces,"40,000",2022-2023,Discovery Grants Program - Individual
"Berciu, Mona",Variational studies of strongly-correlated systems,"50,000",2022-2023,Discovery Grants Program - Individual
"Bergmann, KatrinaKA",Quantum simulations for accelerating the in silico design of optoelectronic materials.,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Bergstrom, Kirk",The Role of Mucin-type O-glycosylation in Fitness and Transmission of Intestinal Symbiotic Bacteria In Vivo,"37,000",2022-2023,Discovery Grants Program - Individual
"Beristain, Alexander",Deciphering cellular and molecular pathways controlling invasive trophoblast differentiation,"50,000",2022-2023,Discovery Grants Program - Individual
"Beristain, Alexander",Deciphering cellular and molecular pathways controlling invasive trophoblast differentiation,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Berlinguette, Curtis",Energy Conversion at the Interface,"276,000",2022-2023,Discovery Grants Program - Individual
"BERLINGUETTE, CURTISP",Real-time visualization of CO2 electrolysis,"368,720",2022-2023,Alliance Grants
"BERLINGUETTE, CURTISP",Renewable diesel production using a low-pressure flow reactor,"300,000",2022-2023,Alliance Grants
"Bernard, GraceGM",Comparing regenerative in vitro models of trophoblast development,"6,000",2022-2023,University Undergraduate Student Research Awards
"Bernatchez, Pascal",Natural and accelerated aging of the eNOS-caveolin-1 system,"28,000",2022-2023,Discovery Grants Program - Individual
"Berube, Pierre",[Re]Engineering water treatment systems for small communities,"52,000",2022-2023,Discovery Grants Program - Individual
"Bérubé, PierrePR",Sustainable membrane management,"117,857",2022-2023,Collaborative Research and Development Grants
"Beschastnikh, Ivan",Compiling Distributed System Models into Implementations,"35,000",2022-2023,Discovery Grants Program - Individual
"Betinol, IsaiahIO",A Data Science Approach to General Catalyst Discovery and Development,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Betz, EmmaEJ",Developing a New Inorganic Proxy to Explore Trophic Dynamics in the Past,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Bevington, ConnorWilliamJamesCWJ",The role of brain energetics in Parkinson's disease: a comprehensive study using simultaneous Positron Emission Tomography/Magnetic Resonance Imaging,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Beznosov, Konstantin",Novel Physical Protection of Personal Mobile Assets,"41,000",2022-2023,Discovery Grants Program - Individual
"Bhargava, Vijay",Concluding 50 Years of Research in Wireless Communications: Algorithms for Artificial Intelligence and Optimization in Networks Beyond 5G and Thereafter,"35,850",2022-2023,Discovery Grants Program - Individual
"Bi, Xiaotao",Fluidized bed reactors for biomass conversion and greenhouse gas mitigation,"76,000",2022-2023,Discovery Grants Program - Individual
"Bi, XiaotaoXT",Feasibility and pilot study of coupled anaerobic digester and pyrolyzer for co-processing organic waste to renewable natural gas and biochar,"101,000",2022-2023,Alliance Grants
"Bichler, Lukas",A multi-process approach towards the development of novel Mg alloys,"39,000",2022-2023,Discovery Grants Program - Individual
"Bichler, LukasL","Optimizing the development and performance of recovered Carbon Black for applications in \""green\"" off-the-road tires","48,200",2022-2023,Alliance Grants
"Bichler, LukasL",Development and characterization of composite materials for high-impact high-wear applications.,"87,750",2022-2023,Alliance Grants
"Bichler, LukasL",Development and optimization of novel wear-resistant manganese steels with ceramic reinforcements,"33,000",2022-2023,Collaborative Research and Development Grants
"Bieber, LeviM",Developing Advanced High-Power Converter Topologies and Controls for Integrating Large-Scale Renewable Energy Sources into the AC Power Grid,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bigazzi, AlexanderA",What is the cost-effectiveness of electric bicycles for greenhouse gas mitigation?,"20,726",2022-2023,Alliance Grants
"Birol, Inanc",Novel Data Structures And Scalable Algorithms For High Throughput Bioinformatics,"28,000",2022-2023,Discovery Grants Program - Individual
"Bishop, KyleK",Effect of Forest Clear-cut Logging on Flood Risk,"6,000",2022-2023,University Undergraduate Student Research Awards
"Bizzotto, Dan",Understanding and controlling complex modified electrochemical interfaces using novel measurements and model systems,"48,000",2022-2023,Discovery Grants Program - Individual
"Black, Alexis",Using machine learning to reveal neural mechanisms of word-learning across development,"28,000",2022-2023,Discovery Grants Program - Individual
"Black, BraydonBB","Exploring the role of glutathione in the AIDS-associated fungal pathogen, Cryptococcus neoformans","21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Black, DavidDG",Human Teleoperation - A Haptically-Enabled Mixed Reality System for Tele-ultrasound,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Black, EmilyEN",The effect of standing genetic variation on the outbreak dynamics of an insect forest pest under climate change conditions.,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Black, Thomas","Carbon sequestration and greenhouse gas emissions in forests, wetlands and agricultural fields","102,000",2022-2023,Discovery Grants Program - Individual
"Blair, JarrettJD",Machine learning for continental scale insect monitoring,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Blakney, Anna",Determining the Effects of Composition and Microfluidic Fabrication Parameters on Lipid Nanoparticle Structure and Function,"33,000",2022-2023,Discovery Grants Program - Individual
"Blanchard, TessaTS",Physiological and Molecular Mechanisms of Developmental Plasticity,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"BloemReddy, Benjamin",Statistical machine learning for dependent data: symmetry and novel dependence structures,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"BloemReddy, Benjamin",Statistical machine learning for dependent data: symmetry and novel dependence structures,"23,000",2022-2023,Discovery Grants Program - Individual
"Blouin, JeanSébastien",Sensorimotor integration and balance,"78,000",2022-2023,Discovery Grants Program - Individual
"Blowes, KristenKE",Real-time sensor-based regional seismic risk assessment of hospital infrastructure,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Bluman, George",Symmetries and Differential Equations,"36,000",2022-2023,Discovery Grants Program - Individual
"Bodnar, MayaMJB",Reducing enrichment-related aggression in male laboratory mice,"6,000",2022-2023,University Undergraduate Student Research Awards
"Bohlmann, Joerg",Genomics and Biochemistry of Spruce Defense against Insects,"198,000",2022-2023,Discovery Grants Program - Individual
"Bolanos, LuisLA",Dense pose estimation for soft-tissue tracking in mice.,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Bolduc, TrevorTG",Facile One-Pot Reductive Deoxygenations of Alcohols and Carboxylic Acids Using Sulfuryl Fluoride,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Boley, Aaron","Orbital and surface risks from rocket bodies: Physical challenges, interdisciplinary solutions","100,000",2022-2023,Discovery Horizons
"Boley, Aaron",Planetary Astronomy,"100,000",2022-2023,Canada Research Chairs
"Boley, Aaron","Planets, Debris, and Us: Planet formation, its aftermath, and human activities in space","28,000",2022-2023,Discovery Grants Program - Individual
"Bolton, EmilyEE",Application of data-science methods to improve decision-making and operational performance in complex groundwater environments,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Bonn, Douglas",Growth and Low Temperature Spectroscopy of Layered Quantum Materials,"150,000",2022-2023,Discovery Grants Program - Individual
"Borch, AnnaAE",Quaternary Basalt Lavas as Recorders of Paleoenvironment and Landscape Evolution,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"BorduasDedekind, Nadine","Shining light on the sources, sinks and concentrations of singlet oxygen in the atmosphere","34,000",2022-2023,Discovery Grants Program - Individual
"BorduasDedekind, Nadine",Illuminating an 8 m3 environmental chamber for atmospheric photochemistry for air quality,"149,631",2022-2023,Research Tools and Instruments
"Bostock, Michael",Seismotectonics of Canada's West Coast,"36,000",2022-2023,Discovery Grants Program - Individual
"Bostock, Michael",Seismotectonics of Canada's West Coast,"40,000",2022-2023,DND/NSERC Discovery Grant Supplement
"Bostock, MichaelG",Earthquake Hazards on Canada's Pacific Coast,"300,000",2022-2023,Alliance Grants
"Botham, JayJLB",Single-molecule microscopy of oligo-enzyme reactions in confinement,"6,000",2022-2023,University Undergraduate Student Research Awards
"BouchardCôté, Alexandre",Scalable approximation of complex probability distributions,"43,000",2022-2023,Discovery Grants Program - Individual
"Boultbee, JordanJEB",Effects of age on interleukin-10 responsiveness in human blood leukocytes,"6,000",2022-2023,University Undergraduate Student Research Awards
"Bourbonnais, Mathieu",Remote sensing applications for understanding pyrodiversity-biodiversity relationships,"29,000",2022-2023,Discovery Grants Program - Individual
"Bourbonnais, Mathieu",Remote sensing applications for understanding pyrodiversity-biodiversity relationships,"12,500",2022-2023,Discovery Launch Supplement
"Boven, OliviaRoseOR",Rapid DNA genotyping tools from fecal pellets for the American pika,"6,000",2022-2023,University Undergraduate Student Research Awards
"Bowman, William",Compilers that Preserve and Enforce Invariants and Proofs,"33,000",2022-2023,Discovery Grants Program - Individual
"Boyle, ColeCA",How many times can a stem cell divide?,"6,000",2022-2023,University Undergraduate Student Research Awards
"Brar, GurcharnSingh",Exploring effectors in Puccinia striiformis f. sp. tritici and identifying new sources of host resistance,"33,000",2022-2023,Discovery Grants Program - Individual
"Brar, GurcharnSinghGS","Staying ahead of ever evolving cereal pathogens: management by early detection, host resistance, and microbiome exploitation","230,125",2022-2023,Alliance Grants
"Braun, Willard",Constrained Nonparametric Inference and Data Visualization through Data Sharpening,"25,000",2022-2023,Discovery Grants Program - Individual
"Brauner, Colin","Gas exchange, ionoregulation and acid-base balance in fish; their interactions and the evolution of complex physiological systems.","65,000",2022-2023,Discovery Grants Program - Individual
"Breitkreutz, AlanaAK","The development, regulation, and biomechanics of blade number in the multi-bladed kelp, Nereocystis luetkeana","21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Brewis, HilaryHT",Investigating the function and regulation of the histone variant H2A.Z in Saccharomyces cerevisiae,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Brinkerhoff, Joshua",Cryogenic Flow Physics to Advance Liquid Hydrogen-Based Aviation,"39,000",2022-2023,Discovery Grants Program - Individual
"Brinkerhoff, JoshuaJR",Reduced-Order Models of Wind Farm Blockage and Far-Field Wake Recovery,"30,625",2022-2023,Alliance Grants
"Brinkman, Ryan",Automated analysis of high dimensional flow cytometry data,"33,600",2022-2023,Discovery Grants Program - Individual
"Britton, Thomas",Advances in Data Driven Quantitative Materials Characterisation,"46,000",2022-2023,Discovery Grants Program - Individual
"Brodie, CharlesCHB",Biophotonic Spectroscopy Systems,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bromme, Dieter",The ligase activity of proteases: Do proteases make proteins?,"36,000",2022-2023,Discovery Grants Program - Individual
"Brooks, RebeccaA",Effects of observationally-informed ocean mixing on the modelled Arctic Ocean state,"6,000",2022-2023,University Undergraduate Student Research Awards
"Brown, CourtneyCV",Phenotypic variation and physiological outcomes in de-acclimatized Tibetans and Canadian controls.,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Brown, EmilyEJ",Impacts of Forest Fires on Ocean Biogeochemistry,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Brumer, Harry","Discovery, characterization, and application of carbohydrate-active enzymes from diverse biological niches","196,000",2022-2023,Discovery Grants Program - Individual
"Bryan, Jim",Counting curves with symmetry,"31,000",2022-2023,Discovery Grants Program - Individual
"Bryman, Douglas",Rare Kaon Decay Experiments,"178,000",2022-2023,Subatomic Physics Envelope - Project
"Buglass, SalomeSB","Newly discovered seamount and kelp habitats in the Galagapos Archipelago: biological hotspots, refuges or systems at risk?","35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Buglass, SalomeSB","Newly discovered seamount and kelp habitats in the Galagapos Archipelago: biological hotspots, refuges or systems at risk?","10,000",2022-2023,Postgraduate Scholarships - Doctoral
"Burke, Sarah",Materials on the edge: nanoscale understanding and control of interfacial and interaction-driven electronic properties of materials,"41,000",2022-2023,Discovery Grants Program - Individual
"Burr, SabrinaSM",The development of large-scale neural networks during the first two years of life,"45,000",2022-2023,Postdoctoral Fellowships
"Burton, Cole",Terrestrial Mammal Conservation,"90,000",2022-2023,Canada Research Chairs
"Burton, Cole",Terrestrial Mammal Conservation,"25,000",2022-2023,Canada Research Chairs
"Burton, Cole",Characterizing mammal community responses to large-scale impacts and interventions.,"28,000",2022-2023,Discovery Grants Program - Individual
"Busch, StephenS",The influence of air pollution and sex differences on pulmonary function and sympathetic control of blood flow,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Bushe, KendalWK",Tools for the prediction of gas turbine combustion fuelled with synthetic fuels,"29,600",2022-2023,Alliance Grants
"Bushe, William",Tools for the prediction of turbulent reacting flows,"54,000",2022-2023,Discovery Grants Program - Individual
"Bystrom, LiamLT",Characterization of a novel B12-repair protein,"6,000",2022-2023,University Undergraduate Student Research Awards
"Cai, CharleyC",Statistical methods to identify changes in protein complex stoichiometry,"6,000",2022-2023,University Undergraduate Student Research Awards
"Cai, YingY",Luminescent materials for bioimaging,"6,000",2022-2023,University Undergraduate Student Research Awards
