Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects
"Bajakian, Aram",The University of British Columbia,Navigating nostalgias: Musical identities within the Armenian diaspora,"$6,000.00",2022-2023,771
"Baker, Alexandra S.",The University of British Columbia,Bidding to Lose,"$17,500.00",2022-2023,766
"Bakker, Karen J.",The University of British Columbia,Mobile Biodiversity Conservation: Dynamic digital management of protected areas,"$30,239.00",2022-2023,435
"Baldauf, Markus",The University of British Columbia,"Individual returns, corruption, and price pressure in local housing markets: Evidence from Real Estate Transaction-level Data","$54,110.00",2022-2023,435
"Bareket-Shavit, Carmelle",The University of British Columbia,Perceived harm of social bias across type of bias and surrounding context,"$17,500.00",2022-2023,766
"Barnes, Trevor J.",The University of British Columbia,"Geographies of the life, works and social activism of William Bunge","$18,100.00",2022-2023,435
"Barr, Caolan",The University of British Columbia,"Dispossession, Settler Subjectivities and the Nation-State: Exploring Colonial Geographies through Critical Infrastructures","$35,000.00",2022-2023,767
"Battaglini, Ashley",The University of British Columbia,Intra- and interpersonal emotion regulation,"$35,000.00",2022-2023,767
"Bauer, Lina",The University of British Columbia,Using converging evidence to differentiate English Language Learners who are at risk of language disorder from their peers,"$17,500.00",2022-2023,766
"Baugh, Leah",The University of British Columbia,Partner Trust after Childhood Maltreatment: A Mixed-Method Approach with Veterans,"$10,000.00",2022-2023,752
"Baumbusch, Jennifer",The University of British Columbia,From Kindergarten to Post-Secondary: Exploring the Educational Journeys of Students with Disabilities,"$92,506.00",2022-2023,435
"Bayley, Deborah C.",The University of British Columbia,A Dialogue in Federalism: Rebuilding a Nation-to-Nation Relationship through the Recognition of Indigenous Jurisdiction within a Federal Framework,"$17,500.00",2022-2023,767
"Baylis, Patrick",The University of British Columbia,Climate and Migration in the Twenty-First Century,"$21,333.00",2022-2023,435
"Bazo, Fabiola",The University of British Columbia,Gender Politics in Peruvian Rock Music,"$20,000.00",2022-2023,752
BC Studies: The British Columbian Quarterly,The University of British Columbia,BC Studies: The British Columbian Quarterly,"$26,000.00",2022-2023,651
"Beatty, John H.",The University of British Columbia,Replaying Life's Tape: Historical Contingency and the Historical Sciences,"$50,533.00",2022-2023,435
"Beauchesne, Kim M.",The University of British Columbia,Bridging Transatlantic and Transpacific Studies: The Keicho Embassy and Its Textual Representations in the Hispanic World (Seventeenth and Twenty-First Centuries),"$15,680.00",2022-2023,435
"Beaudin, Jessica C.",The University of British Columbia,"Euthanasia, Ecofeminism, and Animal Ethics in McCarthy's The Road and Coetzee's Disgrace","$17,500.00",2022-2023,766
"Bedard, Oliver C.",The University of British Columbia,Ann Radcliffe and the Peculiar History of Gothic Incarceration,"$35,000.00",2022-2023,767
"Bedi, Robinder P.",The University of British Columbia,The Role of Hope in Promoting the Career Development of Individuals with a History of Substance Use Disorder after Treatment,"$41,608.00",2022-2023,435
"Bedke, Matthew S.",The University of British Columbia,Taking a Stand: On the Subjectivity of What Matters,"$19,350.00",2022-2023,435
"Belcourt, Billy-Ray",The University of British Columbia,Queer Indigenous Cultural Production,"$70,000.00",2022-2023,950
"Belkadi, Meryem",The University of British Columbia,How are employment outcomes for women impacted by displacement from the slums? A case study of the gendered impact of a nationwide slum clearance program in Morocco,"$50,000.00",2022-2023,770
"Bena, Jan",The University of British Columbia,Financing the Global Shift to Electric Mobility,"$35,796.00",2022-2023,435
"Bena, Jan",The University of British Columbia,Risk and Ownership of Startup Companies,"$7,800.00",2022-2023,435
"Bénard, François",The University of British Columbia,Rare Isotopes to Transform Cancer Therapy,"$3,894,056.00",2022-2023,943
"Benedet, Janine",The University of British Columbia,Responding to Sexual Violence Against Women with Mental Disabilities,"$29,400.00",2022-2023,"1,075"
"Benedet, Janine",The University of British Columbia,The Criminal Law of Sexual Offences and the Canadian Charter of Rights and Freedoms,"$22,425.00",2022-2023,435
"Bennett, Erica",The University of British Columbia,"Queering later life physical activity: Emotions, queer identity, and the psychological adaptation to age-related body changes","$27,014.00",2022-2023,430
"Bergeron-Dumaine, Holly",The University of British Columbia,Reframing Gender and Race in Music Theory and its Pedagogy,"$20,000.00",2022-2023,752
"Bergmann, Luke R",The University of British Columbia,"GIS, Geospatial Big Data and Digital Geohumanities","$120,000.00",2022-2023,950
"Bhalla, Manvi",The University of British Columbia,Epistemic Diversity Within Chemicals Regulation and Management: Implications for Intersectional Environmental Justice in Canada,"$20,000.00",2022-2023,752
"Bian, Bo",The University of British Columbia,Does Mandating Women on Corporate Boards Backfire? International Evidence,"$23,085.00",2022-2023,430
"Biesanz, Jeremy",The University of British Columbia,Examining the consequences of likeability,"$22,000.00",2022-2023,435
"Biesanz, Jeremy",The University of British Columbia,Towards understanding the good target,"$32,000.00",2022-2023,435
"Billet, Matthew I.",The University of British Columbia,Leveraging sacred values to combat environmental apathy,"$35,000.00",2022-2023,767
"Binfet, John Tyler",The University of British Columbia,Fostering donor engagement and stress reduction in a blood donor clinic:  A pilot project between UBC's Building Academic Retention through K9s program and Canadian Blood Services,"$25,000.00",2022-2023,892
"Binfet, John Tyler",The University of British Columbia,Undergraduate Student Stress Reduction Through Virtual Canine Comfort,"$25,545.00",2022-2023,435
"Bissonnette, Emily C.",The University of British Columbia,Experience of Social Media Popularity on Wellbeing,"$17,500.00",2022-2023,766
"Black, Jennifer L.",The University of British Columbia,A hungry story: Bringing key stakeholders together to share novel tools to engage children with the evidence about food insecurity,"$10,000.00",2022-2023,611
"Blackbird-Riley, Shawnelle",The University of British Columbia,Building our relations through stories of sport,"$17,500.00",2022-2023,766
"Blackmore, Anna M.",The University of British Columbia,"Black Identity through Literature, Improvisation and Early Jazz Music","$17,500.00",2022-2023,766
"Bleau, Denica Dione",The University of British Columbia,Indigenous Land-Based Healing from the Effects of Criminalized and Institutionalized Trauma,"$35,000.00",2022-2023,767
"Bloom, Zachary L.",The University of British Columbia,Structuralist Ontology for Mathematics,"$17,500.00",2022-2023,766
"Boedhihartono, Agni Klintuni",The University of British Columbia,Learning from Customary Governance: Achieving Broader Societal Benefits from Forest Landscapes,"$93,600.00",2022-2023,435
"Boghosian, Sasha E.",The University of British Columbia,"The Temple of Garni: Power, Politics and Monumentality at the Fringes of the Roman Empire","$17,500.00",2022-2023,766
"Bond, Takara A.",The University of British Columbia,Self as a brand: the academic and social-emotional implications of online self-presentation among Canadian undergraduate students,"$10,000.00",2022-2023,752
"Borgen, William A.",The University of British Columbia,When you Stop you are Nothing: Older Men and the Transition to Retirement,"$35,758.00",2022-2023,435
"Bork, Vanessa G.",The University of British Columbia,Indigenous Family Stories of Adoption,"$35,000.00",2022-2023,767
"Botia, Luz Alejandra",The University of British Columbia,The Role of Peer Support in Eating Disorders,"$20,000.00",2022-2023,752
"Bouchard, Marie-Eve",The University of British Columbia,Fostering linguistic security among young French speakers in British Columbia,"$14,810.00",2022-2023,892
"Bouchard, Marie-Eve",The University of British Columbia,Uniting voices: An examination of racially minoritized French speakers of Vancouver,"$26,143.00",2022-2023,430
"Boyd, Amber D.",The University of British Columbia,Beyond the margins: providing a literary landscape for Métis youth,"$17,500.00",2022-2023,766
"Brain, Thea",The University of British Columbia,"Do, help, talk: Training teachers to implement a peer-mediated social skills intervention for elementary school students with autism spectrum disorder","$35,000.00",2022-2023,767
"Brass, Laura",The University of British Columbia,"Re-Skilling, Up-Skilling, and the De-Valuing of Skill: Skilled Immigrant Women's Lived Experiences of Identity","$20,000.00",2022-2023,752
"Bratiotis, Christiana",The University of British Columbia,Harm reduction for hoarding: Targets and strategies for community-based intervention,"$39,495.00",2022-2023,435
"Bredin, Shannon",The University of British Columbia,Engaging Indigenous youth through traditional land-based activities,"$27,342.00",2022-2023,435
"Briggs, Chloe",The University of British Columbia,Self-disclosing on Instagram: Do Self-Disclosure Motivations Play a Role in the Relationship Between Social Media and Mental Health?,"$20,000.00",2022-2023,752
"Broom, Catherine A.",The University of British Columbia,Challenging Canadian Citizenship and Identity: Re-Imagining a New Narrative of Belonging,"$3,966.00",2022-2023,435
"Brown, Helen J.",The University of British Columbia,"A.R.T. & Justice: Art & Storytelling towards Holistic Wellbeing, Community Building, and Good Governance for People in Prison in British Columbia","$42,240.00",2022-2023,435
"Brownlee, Kimberley L L",The University of British Columbia,Canada Research Chair in Ethics and Political and Social Philosophy ,"$200,000.00",2022-2023,950
"Brownlee, Kimberley L.L.",The University of British Columbia,Face to Face: A Study of Interactional Ethics,"$4,062.00",2022-2023,435
"Bryce, Benjamin",The University of British Columbia,"Grounds for Exclusion: Immigration, Race, Health, and Gender in Argentina, 1876-1940","$13,494.00",2022-2023,435
"Bryce, Benjamin",The University of British Columbia,"Settler Vines: Migrants, Science, and Environment in Canada and Argentina, 1890-1940","$23,603.00",2022-2023,430
"Bulkan, Janette",The University of British Columbia,Best practices in artisanal fisheries in the Guiana Shield to support local communities and ecosystem resilience,"$15,291.00",2022-2023,435
"Bungay, Victoria A",The University of British Columbia,"Gender, Equity, and Community Engagement","$100,000.00",2022-2023,950
"Butt, Melanie",The University of British Columbia,The effects of mood and executive functioning on life space and quality of life,"$17,500.00",2022-2023,766
"Byers, Michael",The University of British Columbia,Sustainable Development of Low Earth Orbit,"$69,600.00",2022-2023,435
"Byers, Michael R",The University of British Columbia,Global Politics and International Law,"$200,000.00",2022-2023,950
"Byrne, Jeffrey J.",The University of British Columbia,The Morality of War and Peace in the Age of Anticolonial Revolution,"$23,845.00",2022-2023,435
"Cadger, Emily A.",The University of British Columbia,Constructing national identity in the British Empire through art and ecology,"$20,000.00",2022-2023,752
"Callison, Candis",The University of British Columbia,"Indigenous Journalism, Media, and Public Discourse","$200,000.00",2022-2023,950
"Campbell, Shannon J.",The University of British Columbia,Mina Loy: Linguistic Disruptions and the Embodied Female Subject,"$17,500.00",2022-2023,766
Canadian Journal of Community Mental Health,The University of British Columbia,Canadian Journal of Community Mental Health / Revue canadienne de santé mentale communautaire,"$13,400.00",2022-2023,651
Canadian Journal of Development Studies,The University of British Columbia,Canadian Journal of Development Studies / Revue canadienne d'études du développement,"$29,400.00",2022-2023,651
Canadian Literature,The University of British Columbia,Canadian Literature / Littérature canadienne,"$30,000.00",2022-2023,651
"Cao, Yankai",The University of British Columbia,Global Optimal and Interpretable models for Grid-scale battery management,"$125,000.00",2022-2023,940
"Cao, Yankai",The University of British Columbia,Trash is cash: Building resilient rural communities through localized production of critical commodities,"$250,000.00",2022-2023,941
"Caragata, Lea M.",The University of British Columbia,"Supporting resilient outcomes: Understanding the emotional, instrumental and financial contributions of youth in low-income lone mother households","$59,866.00",2022-2023,435
"Cardoso, Amanda",The University of British Columbia,Language Attitudes and their Social Consequences in Diverse Contexts,"$28,240.00",2022-2023,611
"Carlyle, Margaret",The University of British Columbia,Reproductive Technologies in the French Atlantic World (1650-1800),"$29,086.00",2022-2023,430
"Carson, Nicole L.",The University of British Columbia,Young Women's Retrospective Narratives of Their Abortion in Adolescence,"$17,500.00",2022-2023,766
"Carter, Diana",The University of British Columbia,Gender-neutral and inclusive language use in Spanish,"$47,671.00",2022-2023,430
"Casas Aguilar, Anna",The University of British Columbia,"Images of Difference: Regionalisms, Gender, and the Evolution of Tourism in Spain (1960-2020)","$5,116.00",2022-2023,435
"Cavanaugh, Lisa A.",The University of British Columbia,Identity-Relevant Brands and Social Distance in Online Reviews,"$34,850.00",2022-2023,435
"Cembrowski, Mark",The University of British Columbia,The cell-type-specific basis of epilepsy and treatment in the living human brain,"$125,000.00",2022-2023,940
"Chan, Jessica",The University of British Columbia,"The Linguistic Indicators of Framing Tool: Developing a tool to LIFT negative framing out of published health research involving First Nations, Inuit and Métis peoples","$40,168.00",2022-2023,430
"Chang, Stephanie",The University of British Columbia,Supporting business preparation for future shocks:  International cases to understand how recovery programs can facilitate adaptation,"$250,000.00",2022-2023,941
"Chapman, Mary A.M.",The University of British Columbia,Onoto Watanna's CATTLE at 100: Indomitable Women in the West During the Chinese Exclusion Era,"$24,983.00",2022-2023,611
"Charest-Morin, Raphaele",The University of British Columbia,Personalized medicine for primary bone tumors of the spine,"$125,000.00",2022-2023,940
"Charles, Julia Morgan",The University of British Columbia,Autoimmunity and the Pathological Self,"$17,500.00",2022-2023,766
"Chaudhary, Zarah",The University of British Columbia,How do you measure 'good enough'? Aligning high stakes assessments of learning with contemporary test validity theory standards,"$20,000.00",2022-2023,752
"Chaudhry, Ayesha",The University of British Columbia,"Canada Research Chair in Religion, Law and Social Justice","$100,000.00",2022-2023,950
"Cheek, Timothy C.",The University of British Columbia,Xinjiang Documentation Partnership,"$101,622.00",2022-2023,890
"Chen, Frances S.",The University of British Columbia,What happens when we turn away? Comparing empathic disengagement and engagement as modes of coping with others' distress,"$60,118.00",2022-2023,435
"Cheng, Jie J.",The University of British Columbia,Judicial Politics in Contemporary China: A Case Study of the Cross-Regional Courts Reform,"$6,559.00",2022-2023,435
"Cheng, Zhaohua",The University of British Columbia,Urban forest-based solutions for enhancing urban resilience,"$10,000.00",2022-2023,752
"Chong, Caitlin E.W.",The University of British Columbia,Class Contours: A Digital Content Analysis of Vancouver's Chinese-Canadian Communities on Instagram,"$17,500.00",2022-2023,766
"Christensen, Brianne",The University of British Columbia,Hospitable narratives: migration memorialization in British museums and Ali Smith's fiction,"$6,000.00",2022-2023,771
"Christensen, Brianne",The University of British Columbia,Hospitality in Crisis: New Sincerity and Receiving the Stranger in Ali Smith's Seasonal Quartet,"$17,500.00",2022-2023,766
"Christopoulos, John",The University of British Columbia,Bodies of Crime in Early Modern Italy,"$21,450.00",2022-2023,435
"Chu, Natalie E.",The University of British Columbia,Harnessing the Power of Online Education Through Corporate Partnerships: An Advantage or Crime?,"$17,500.00",2022-2023,766
"Chui, Bianca",The University of British Columbia,"Investigating Edo print culture from sugoroku board games: Research and training on history, materiality, and handling of Japanese rare books and prints","$6,000.00",2022-2023,771
"Chui, Bianca",The University of British Columbia,Travel with Yaji and Kita: Sugoroku Board Game Adaptations of Tokaidochu Hizakurige,"$17,500.00",2022-2023,766
"Cinnamon, Jonathan",The University of British Columbia,The experimental digital city: Learning from the Kelowna model of smart urban innovation,"$17,296.00",2022-2023,430
"Clements, Reed B.",The University of British Columbia,"Unimaginable geometries in imaginative fiction, 1880 to 1940","$35,000.00",2022-2023,767
"Clough, David R.",The University of British Columbia,"Value creation and value capture in systemic industries:  Alliance networks, technology adoption, and firm scope","$17,210.00",2022-2023,435
"Coady, Alanna",The University of British Columbia,How Do Passive Users Benefit From Online Health Communities?: Proposing A Novel Construct of Vicarious Social Support,"$35,000.00",2022-2023,767
"Coleman, Katharina P.",The University of British Columbia,Local Internationals: Navigating the Intersection of Global Institutions and Local Politics,"$14,363.00",2022-2023,435
"Conklin, Annalijn",The University of British Columbia,"Social connectedness, life transitions, gender and eating habits: longitudinal study of a Canadian aging cohort","$31,823.00",2022-2023,430
"Connolly, James",The University of British Columbia,Measuring the Effects of Housing Vulnerability on Perceptions of Urban Climate Risk and Action,"$60,147.00",2022-2023,430
"Cook, Christopher Owen MacLeod",The University of British Columbia,In our own words: Research-based theatre for community members living with mental illness,"$17,500.00",2022-2023,767
"Cookson, Tara",The University of British Columbia,'Doing' gender and development with data and digital technology,"$38,255.00",2022-2023,430
"Cookson, Tara",The University of British Columbia,"Gender, Development, and Global Public Policy","$120,000.00",2022-2023,950
"Corbett, Jonathan M.",The University of British Columbia,Mapping for Change: A Critical Examination of the Social Justice Impact of Participatory Mapping,"$46,809.00",2022-2023,435
"Corbett, Marja-Leena A.",The University of British Columbia,Suicide Scripts and Transgender Youth,"$17,500.00",2022-2023,766
"Cornil, Yann",The University of British Columbia,Online Social Media Experimentation for Consumer and Social Sciences: Opportunities and Challenges,"$34,307.00",2022-2023,430
"Cornil, Yann",The University of British Columbia,Understanding Consumers' Attitudes Towards Food Processing,"$25,929.00",2022-2023,435
"Coulthard, Lisa",The University of British Columbia,Digital Dark Tourism: a case study of true crime tourism in the digital age,"$19,311.00",2022-2023,430
"Courchesne, Jade M.",The University of British Columbia,Not Chinese Enough: Examining Heritage Language Use in Contemporary Chinese Diasporic Filmmaking,"$17,500.00",2022-2023,766
"Couture, Victor",The University of British Columbia,Mobility and Congestion in World Cities: Evidence from Google Maps,"$49,970.00",2022-2023,435
"Cranston, Kaela",The University of British Columbia,Partnering for change: Co-developing a diabetes prevention program with urban Indigenous communities,"$20,000.00",2022-2023,752
"Cripps, Rachel C.",The University of British Columbia,Climate Catastrophe and the Biocultural Theory of Moral Progress,"$17,500.00",2022-2023,766
"Crocker, Peter R. E.",The University of British Columbia,Exploring psychological well-being and adaptation processes in Paralympic and Olympic athletes: A critical study of privilege and marginalization in the age of COVID-19,"$45,273.00",2022-2023,435
"Cu Unjieng, Cesar Antonio",The University of British Columbia,"Dora Lunn, Denise Wren, Dora Billington and English Studio Pottery: A Gendered Origins Story","$35,000.00",2022-2023,767
"Currie, Lauren N.",The University of British Columbia,Addiction and identity: The Identity Transition Matters groups influence on identity change with a problematic substance use population,"$20,000.00",2022-2023,752
"D'Adduzio, Jenna",The University of British Columbia,Retail Investor Activity and Managers' Social Media Disclosures,"$24,497.00",2022-2023,430
"Dahl, Darren W.",The University of British Columbia,Ethical Storytelling in Corporate Social Responsibility,"$33,600.00",2022-2023,435
"Damiano, Natasha L.",The University of British Columbia,An arts-based ethnography of immigrant children's group singing,"$20,000.00",2022-2023,752
"Dang, Michael A.",The University of British Columbia,The Queer Origins of Conceptual Art: New York Correspondence School,"$17,500.00",2022-2023,766
"Daniels, Megan",The University of British Columbia,"Re-Orienting ""Orientalizing"": Intercultural Iconographies of the Mediterranean Iron Age","$23,725.00",2022-2023,430
"Darko, Odic",The University of British Columbia,"Sorry, you've got the wrong number:  the role of intuitive number error monitoring in learning mathematics","$18,924.00",2022-2023,435
"Daurio, Maya",The University of British Columbia,Mapping Against the Grain: An Ethnographic Approach to Language Mapping,"$50,000.00",2022-2023,770
"Davies Barton, Tyeson",The University of British Columbia,Toward an Ecological and Enactive Theory of Information for the Cognitive Sciences,"$35,000.00",2022-2023,767
"Davies, Katharine T.",The University of British Columbia,The met and unmet communication needs of individuals with primary progressive aphasia and their families: A stakeholder consensus,"$35,000.00",2022-2023,767
"Davis, Henry T.",The University of British Columbia,Developing Accessible Grammars for BC First Nations Languages,"$81,054.00",2022-2023,435
"Dawson, Samantha J.",The University of British Columbia,"Interpersonal up-regulation of positive emotion and couples' sexual well-being: A dyadic observational, physiological, daily, and longitudinal investigation","$13,251.00",2022-2023,435
"Dawson, Sydney M.",The University of British Columbia,Referential Language Use and Perceptions of Relationship Validity,"$17,500.00",2022-2023,766
"Day, Susan D.",The University of British Columbia,The Urban Forest Management Action Framework: How human actions impact urban forest ecosystem services,"$68,595.00",2022-2023,890
"de Montmollin, Peter Benjamin",The University of British Columbia,"Local Rivers, Global Currents: Climate, Water and History in Chile and British Columbia","$6,000.00",2022-2023,771
"de Montmollin, Peter Benjamin",The University of British Columbia,"Local Rivers, Global Currents: Climate, Water and History in Chile and British Columbia","$35,000.00",2022-2023,767
"de Oliveira Andreotti, Vanessa",The University of British Columbia,"Race, Inequalities and Global Change","$74,949.77",2022-2023,950
"Dean, Nikolaus A.",The University of British Columbia,From crime to prime time: Exploring skateboarding's inclusion into the Olympic Games,"$35,000.00",2022-2023,767
"DeLongis, Anita",The University of British Columbia,Dyadic coping in couples: What types of support are helpful?,"$42,950.00",2022-2023,435
"DeLongis, Anita",The University of British Columbia,How can I help? Dyadic coping and support in couples,"$42,003.00",2022-2023,435
"Dempsey, Jessica",The University of British Columbia,Biodiversity conservation as financial asset tracing for-profit conservation finance,"$17,808.00",2022-2023,435
"Devereux, Michael B.",The University of British Columbia,Correlated Policy Shocks in Macroeconomics,"$22,472.00",2022-2023,435
"Dixon-Luinenburg, Titania L.",The University of British Columbia,What is psychological pain? Examining the nature and structure of unbearable psychological pain,"$6,667.00",2022-2023,752
"Dmyterko, Juliane M.L.",The University of British Columbia,How can we support you? A grounded theory of neurodiversity-affirming practice,"$20,000.00",2022-2023,752
"Doberstein, Carey",The University of British Columbia,The delegated state: Arms-length agencies and authorities across Canada,"$14,540.00",2022-2023,435
"Donald, Madeline C.",The University of British Columbia,"What's in a weed? An ethnoecological study of non-indigenous plants present in K'emcnitkw, an Okanagan River floodplain re-engagement site","$20,000.00",2022-2023,752
"Donaldson, R. Glen",The University of British Columbia,"Banks, sovereign debt and financial markets","$26,496.00",2022-2023,435
"Donovan, Bonny Lynn",The University of British Columbia,Ecoliteracy in the Early Learning Years: A Land Education Study with Syilx/Okanagan children,"$20,000.00",2022-2023,752
"Douglas, Jennifer L.",The University of British Columbia,Getting at the Heart of the File: Toward a Person Centred Theory of Archival Care,"$29,340.00",2022-2023,435
"Dreisinger, Olivia",The University of British Columbia,Pro-Illness Communities: Illness influencers and the construction of pro-illness identity,"$35,000.00",2022-2023,767
"Duan, Bufang",The University of British Columbia,Ideological Estimation Using Twitter Content,"$35,000.00",2022-2023,767
"Duff, Patricia A.",The University of British Columbia,"Sociopolitical and sociocultural dimensions of learning Chinese as an additional language: Changing global contexts, media discourse, and learners","$18,000.00",2022-2023,435
"Dulic, Aleksandra",The University of British Columbia,Okanagan WaterFutures: Experiential Games for Water Responsibility,"$39,920.00",2022-2023,435
"Dumoulin, Amanda R.",The University of British Columbia,Improving interpersonal connectedness in asynchronous online learning environments with discussion forums,"$17,500.00",2022-2023,766
"Duncan, Alexander T.",The University of British Columbia,Understanding Indigenous perspectives on sea lamprey control in the Laurentian Great Lakes,"$35,000.00",2022-2023,767
"Dunn, Elizabeth W.",The University of British Columbia,Hello stranger: Intrapersonal and interpersonal strategies for promoting interactions between strangers,"$46,388.00",2022-2023,435
"Echard, Sian E.",The University of British Columbia,Writing (on) History: Manuscripts of Medieval British Histories over Time,"$30,857.00",2022-2023,435
"Edwards, Gabrielle B.",The University of British Columbia,Experiences Implementing and Integrating a School Garden Project: An Ethnographic Case Study,"$20,000.00",2022-2023,752
"El-Mikati, Marianne",The University of British Columbia,"Borders, Identity and Belonging: Navigating the Intersection of Racialized Refugee/Forced Migrant Solidarity with Indigenous Communities on Turtle Island","$17,500.00",2022-2023,766
"Elfstrom, Manfred",The University of British Columbia,Mobilizing the Mountains: Natural Resources and Popular Protest in Appalachia and North China,"$29,240.00",2022-2023,430
"Elizur, Leor",The University of British Columbia,"The 'Dual Pandemic': Experiences of BIPOC (Black, Indigenous, People of Colour) Therapists in COVID-19","$17,500.00",2022-2023,766
"Ellermann, Antje",The University of British Columbia,Immigration Bureaucracies in an Era of Anti-Immigration Populism,"$89,903.00",2022-2023,435
"Elliott, Sinikka",The University of British Columbia,Explaining the Processes and Mechanisms Underlying Household Food Insecurity among Families with Children Ages 6-13,"$29,557.00",2022-2023,435
"Ellis, Jason A.",The University of British Columbia,"From Opportunity to Inequality: A History of Inner-Suburban Schools in Canada, 1945-present","$23,846.00",2022-2023,435
"Etxabe , Julen JE",The University of British Columbia,Jurisprudence and Human Rights,"$120,000.00",2022-2023,950
