Title,Description,Data Type,Attributes
Areas of Special Interest and Accomplishments,Detail specific areas of interest and significant accomplishments in the field. This section highlights specialized expertise and notable achievements.,Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Professional Contributions,"List contributions to the profession, providing details about the nature of these contributions. This section emphasizes the individual's impact and involvement in the professional community.",Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Invited Presentations,"Detail any invited presentations, including details about the presentation. This showcases recognition by peers and contributions to knowledge dissemination.",Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Contributed Talk,"Include details about talks given, specifying the context and content. This section highlights active participation in professional dialogues and conferences.",Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Invited Participation,"List instances of invited participation in events or activities, providing details. This section underscores recognition and engagement in the professional community.",Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Patient Engagement,"Detail activities involving patient engagement, specifying the nature and details. This section emphasizes contributions to patient care and community involvement.",Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Student Oral Presentation,Include details about oral presentations by students under the individual's supervision. This highlights mentorship and student development in presenting research or projects.,Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Other Scholarly Activities,"List other scholarly activities, providing relevant details. This section showcases a broad range of academic and research engagements.",Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Conference Participation,"Detail participation in conferences, specifying the nature of involvement. This section emphasizes engagement with the broader academic and professional community.",Scholarly and Professional Activities,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Secure Funding,"List all grants the individual has obtained, including the title, amount, keywords, agency, department, program and dates.",Scholarly and Professional Activities,"""{\""First Name\"": \""\"", \""Last Name\"": \""\"", \""Title\"": \""\"", \""Keywords\"": \""\"", \""Amount\"": \""\"", \""Department\"": \""\"", \""Program\"": \""\"", \""Agency\"": \""\"", \""Year\"": \""\""}"""
Memberships on University Committees,"List memberships on university committees, providing details. This section highlights service to the university and contributions to governance and administration.",Service to the University,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Other University Service,"Detail other service to the university, specifying the nature of the service. This section underscores additional contributions to the university community.",Service to the University,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Memberships on Hospital Committees,Include details about memberships on hospital committees. This section emphasizes contributions to hospital governance and administration.,Service to the Hospital,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Other Hospital Service,"Detail other service to the hospital, providing relevant information. This section showcases additional contributions to hospital operations and community.",Service to the Hospital,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Memberships on Community Societies,"List memberships in community societies, specifying details. This section highlights involvement in community organizations and service.",Service to the Community,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Memberships on Community Committees,"Detail memberships on community committees, providing relevant information. This section underscores contributions to community governance and activities.",Service to the Community,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Editorships,"Include details about editorships, specifying the nature of the role. This section highlights contributions to academic and professional publications.",Service to the Community,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Reviewer,"List roles as a reviewer, providing details about the nature of the review work. This section emphasizes contributions to maintaining quality and standards in the profession.",Service to the Community,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
External Examiner,"Detail roles as an external examiner, specifying the nature of involvement. This section underscores contributions to academic evaluations and standards.",Service to the Community,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Consultant,"Include details about consultancy roles, specifying the nature of the consultancy. This section highlights expertise and contributions to external projects or organizations.",Service to the Community,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Other Service,"Detail other service contributions, providing relevant information. This section showcases additional service activities not covered elsewhere.",Service to the Community,"""{\""Details\"": \""\"",\""Dates\"": \""\""}"""
Teaching Awards,"List teaching awards received, providing details. This section highlights recognition for excellence in teaching.",Awards and Distinctions,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Scholarships,Include details about scholarships received. This section underscores academic excellence and recognition.,Awards and Distinctions,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Service Awards,"List service awards received, specifying details. This section highlights recognition for contributions to service activities.",Awards and Distinctions,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Research Awards,Include details about research awards received. This section emphasizes recognition for research excellence and contributions.,Awards and Distinctions,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Other Awards,"Detail other awards received, providing relevant information. This section showcases additional recognitions and achievements.",Awards and Distinctions,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Other Noteworthy Activity,"Include any other noteworthy activities, providing relevant details. This section highlights additional significant contributions or engagements.",Other Relevant Information,"""{\""Details\"": \""\"",\""Year\"": \""\""}"""
Publications,"Detail any publications, providing relevant information.",Publications,"""{\""Title\"": \""\"", \""Year Published\"": \""\"", \""Authors\"": \""\"", \""Author Scopus IDs\"": \""\"", \""Journal\"": \""\"", \""Cited By\"": \""\"", \""DOI\"": \""\"", \""Keywords\"": \""\"", \""Link\"": \""\""}"""
Patents,"Detail any patents, providing relevant information.",Patents,"""{\""Title\"": \""\"", \""First Name\"": \""\"", \""Last Name\"": \""\"", \""Publication Number\"": \""\"", \""Year Published\"": \""\"", \""Family Number\"": \""\"", \""Country Code\"": \""\"", \""Kind Code\"": \""\"", \""Classification\"": \""\""}"""
