"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
89,"Characterization of the molecular regulation of hemopoietic stem cells","John R. Evans Leaders Fund","New Opportunities Fund","Kelly McNagny","Kelly McNagny","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","Hematopoiesis, Immunology, Virology, Vertebrate Development, Signal Transduction, Molecular Biology, Biochemistry, Adhesion, Flow Cytometry",1998,6-Aug-98,$211680
1008,"DeltaVision Optical Sectioning Microscope Model 243","Innovation Fund","Institutional Innovation Fund under $350,000","Peter Lansdorp","Shoukat Dedhar, Ralph Durand, Robert Kay, Peter Lansdorp, Victor Ling, Calum Macaulay, Peggy Olive","British Columbia",Vancouver,University,"The University of British Columbia","BC Cancer, part of the Provincial Health Services Authority",Genetics,"cell biology, subcellular localization, fluorescence microscopy, deconvolution microscopy, nuclear organization, 3D reconstruction of multi-colour fluorescence, fluorescence in situ hybridisation, telomere biology.",1998,13-Oct-98,$128149
730,"Determinants of Genome Stability in Yeast and Man","John R. Evans Leaders Fund","New Opportunities Fund","Philip Hieter","Philip Hieter","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"Molecular genetics, Chromosome Structure and Function, Genome Analysis, Cell Division cycle",1998,6-Aug-98,$200000
63,"Development of Orthopaedic Engineering Research Facilities","John R. Evans Leaders Fund","New Opportunities Fund","Thomas Oxland","Clive Duncan, Antony Hodgson, Bas Masri, James Mcewen, John O'Connell, Thomas Oxland, Douglas Romilly, Septimiu Salcudean, Stephen Tredwell, Alastair Younger","British Columbia",Vancouver,University,"The University of British Columbia","Vancouver Coastal Health Authority","Medical and biomedical engineering","orthopaedics, biomedical engineering, bone, implant, fixation, bone loss, skeletal reconstruction, osteoporosis, computer-assisted surgery",1998,6-Aug-98,$199426
796,"Establishment of a Laboratory in Molecular Marine Microbiology and Virology","John R. Evans Leaders Fund","New Opportunities Fund","Curtis Suttle","Curtis Suttle","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","Microbiology, Virology, Biodiversity, Oceanography",1998,6-Aug-98,$200000
1011,"Functional analysis of differential gene expression during neuronal cell death and neurogenesis","John R. Evans Leaders Fund","New Opportunities Fund","Jane Roskams","Philip Hieter, Jane Roskams","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","Nerve Regeneration, Nerve Degeneration, Molecular Genetics, Transplantation, Brain Development",1998,6-Aug-98,$128475
745,"Health Promotion in Children and Youth","John R. Evans Leaders Fund","New Opportunities Fund","Chris Lovato","Chris Lovato","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","health promotion, health behavior, skin cancer prevention, tobacco prevention, injury prevention, program planning, community health, child health, youth health",1998,6-Aug-98,$55834
296,"Metal/Molecule Electron Transfer in Molecular Electronics","John R. Evans Leaders Fund","New Opportunities Fund","John Stuckless","John Stuckless, Mark Thachuk, Michael Wolf","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","molecular electronics, electron transfer, molecular dynamics, scanning tunneling spectroscopy, laser photoemission, metal surfaces, conducting polymers, fuel cells, light emitting diodes",1998,6-Aug-98,$237035
71,"Molecular, cellular, and transgenic mouse studies on the pathophysiology of the pancreatic islet beta cell in diabetes mellitus","John R. Evans Leaders Fund","New Opportunities Fund","C. Bruce Verchere","C. Bruce Verchere","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","diabetes mellitus, amyloid, islet amyloid polypeptide, amylin, insulin, transgenic mice, prohormone processing, recombinant adenovirus, HPLC, autoantigen",1998,6-Aug-98,$165983
207,"Outdoor/Atmospheric Facility for Advanced Concrete Materials Research","Innovation Fund","Institutional Innovation Fund under $350,000","Nemkumar Banthia","Nemkumar Banthia","British Columbia",Vancouver,University,"The University of British Columbia",,"Civil engineering","Concrete, Shotcrete, Composites, Infrastructure renewal, Recycling, Industrial By-Products, Environment",1998,13-Oct-98,$39000
1233,"Renewal of Regional x-ray diffraction facility","Innovation Fund","Institutional Innovation Fund under $350,000","Michael Murphy","Gary Brayer, Michael Murphy, Natalie Strynadka","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"protein engineering, x-ray crystallography, protein-protein interactions, metalloproteins, electron transfer",1998,13-Oct-98,$34216
791,"Research Facility for Established and Emerging Bacterial Pathogens","John R. Evans Leaders Fund","New Opportunities Fund","Richard Stokes","Eshwar Mahenthiralingam, Richard Stokes","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","Mycobacteria, Tuberculosis, Mycobaterium avium complex, Theraputics, virulence factors, macrophage, pseudomonas aeruginosa, burkholderia cepacia, epidiology",1998,6-Aug-98,$78575
738,"Signal transduction in human blood vessels as targets for novel theraputic agents","John R. Evans Leaders Fund","New Opportunities Fund","Ismail Laher","Ismail Laher","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Human blood vessels, signal transduction, atherosclerosis, diabetes, vasospasm, calcium, protein kinases, resistance arteries",1998,6-Aug-98,$120000
768,"Simulation and Analysis of Space-based Astrophysics Data","John R. Evans Leaders Fund","New Opportunities Fund","Douglas Scott","Jaymie Matthews, Douglas Scott","British Columbia",Vancouver,University,"The University of British Columbia",,"Astronomical and space sciences","Astrophysics, space, the universe, training, public understanding of science",1998,6-Aug-98,$42400
793,"Structured-Based Design of Novel Antibiotic Therapies","John R. Evans Leaders Fund","New Opportunities Fund","Natalie Strynadka","Natalie Strynadka","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","X-ray crystallography, antibiotoic resistance, structure-based drug-design, enzyme mechanism",1998,6-Aug-98,$77000
752,"Studies Concerning the role(s) of cadherin-11 in human implantation and placentation","John R. Evans Leaders Fund","New Opportunities Fund","Colin Maccalman","Colin Maccalman","British Columbia",Vancouver,University,"The University of British Columbia",,"Pediatrics and reproductive medicine","cadherins, type 2 cadherins, human implantation, placenta, endometrium infertility, trophoblast invaision, nothern blot, western blot, replication deficient adenoviral",1998,6-Aug-98,$105975
248,"The Genetic Data Centre at the University of British Columbia","Innovation Fund","Institutional Innovation Fund over $350,000","Kermit Ritland","Frederick Bunnell, Christopher Chanway, Kimberly Cheng, Brian Ellis, Kermit Ritland, Dolph Schluter, Anthony Sinclair","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"population genetics, conservation genetics, molecular genetics, genetic markers, quantitative trait locus mapping, molecular evolution",1998,13-Oct-98,$382000
43,"UBC Animal Welfare Program","John R. Evans Leaders Fund","New Opportunities Fund","Daniel Weary","Daniel Weary","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","animal welfare, animal behaviour, animal vocalizations",1998,6-Aug-98,$29720
493,"Centre for Integrated Genomics","Innovation Fund","Institutional Innovation Fund over $350,000","Philip Hieter","Shoukat Dedhar, Connie Eaves, B. Brett Finlay, Charles Haynes, Philip Hieter, Douglas Kilburn, Peter Lansdorp, Victor Ling, Michael Smith, Terrance Snutch, Simon Sutcliffe","British Columbia",Vancouver,University,"The University of British Columbia","BC Cancer, part of the Provincial Health Services Authority","Chemical engineering","biochemical engineering, process development, cellulase, cellulose binding domain",1999,23-Jul-99,$9350000
2230,"Core Research Facility for Gene Transfer and Gene Function","John R. Evans Leaders Fund","On-going New Opportunities Fund","Alice Mui","Alice Mui","British Columbia",Vancouver,University,"The University of British Columbia","Vancouver Coastal Health Authority","Clinical sciences","signal transduction, gene function, gene expression, gene transfer, immunotherapy, Interleukin-10, macrophage, dendritic cells",1999,30-Nov-99,$139408
530,"Establishment of a Core Centre for Growth and Development","Innovation Fund","Institutional Innovation Fund over $350,000","Danny Rurak","Nelly Auersperg, Lorne Clarke, Shirley Gillam, Sheila Innis, Peter Leung, Colin Maccalman, Wendy Robinson, Danny Rurak","British Columbia",Vancouver,University,"The University of British Columbia","Children's and Women's Health Centre of British Columbia","Health services and systems","Reproductive biology, preterm delivery, prenatal diagnosis, congenital mutations, nutritional assessment, pediatric nutrition.",1999,30-Mar-99,$1000000
1894,"Interdisciplinary Speech Research Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Bryan Gick","Barbara Bernhardt, Max Cynader, Bryan Gick, D. Geoffrey Hall, Margaret Pichora-Fuller, Douglas Pulleyblank, Patricia Shaw, David Stapells, Janet Werker","British Columbia",Vancouver,University,"The University of British Columbia",,Linguistics,"phonetics, phonology, laboratory phonology, speech articulation, midsagittal articulometry, First Nations languages",1999,30-Nov-99,$200000
400,"Medical and Biological Functional Imaging Centre","Innovation Fund","Institutional Innovation Fund over $350,000","Alex MacKay","Max Cynader, Deborah Giaschi, Peter Hochachka, Peter Liddle, Alex MacKay, Donald Paty, Anthony Phillips, Janet Werker, Peter Wong, Robert Woodham","British Columbia",Vancouver,University,"The University of British Columbia","Vancouver Coastal Health Authority","Clinical sciences","magnetic resonance imaging, fMRI, magnetic resonance spectroscopy, functional imaging, structural imaging, brain imaging, brain pathophysiology, non-invasive in vivo animal/tissue biochemistry, animal models of disease",1999,22-Jun-99,$3418142
1491,"Parallel Computing Facility for Research in Science and Engineering","John R. Evans Leaders Fund","On-going New Opportunities Fund","Matthew Choptuik","Ian Affleck, Uri Ascher, William Bushe, Matthew Choptuik, Grenfell Patey, Martha Salcudean, Mark Thachuk, William Unruh","British Columbia",Vancouver,University,"The University of British Columbia",,"Computer and information sciences","simulation, supercomputing, modeling, computational, physics, chemistry,fluid dynamics, geophysics",1999,30-Nov-99,$259304
499,"Renovations and installation of major facilities for the UBC/VHHSC Brain Research Centre","Innovation Fund","Institutional Innovation Fund over $350,000","Max Cynader","Max Cynader, Michael Hayden, Peter Liddle, Robert Molday, Timothy Murphy, Peter Reiner, Steven Vincent","British Columbia",Vancouver,University,"The University of British Columbia","Vancouver Coastal Health Authority","Neurosciences, medical and physiological and health aspects","brain research, neuroscience, imaging, neurodegeneration, Alzheimer's, multiple sclerosis, stroke, schizophrenia, development, genomics, vectors",1999,22-Jun-99,$3410000
1869,"Team Leaders for Genome Sequence Centre","John R. Evans Leaders Fund","On-going New Opportunities Fund","Marco Marra","Steven Jones, Marco Marra","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"Large Scale DNA Sequencing, Large Scale DNA Mapping, Gene Discovery",1999,30-Nov-99,$280000
1887,"Technology Development Facility for High Throughput Genomics","John R. Evans Leaders Fund","On-going New Opportunities Fund","Andre Marziali","Andre Marziali","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"Biotechnology, DNA, Sequencing, Genomics, Robotics, Nanofabrication, Automation,Electrophoresis",1999,30-Nov-99,$162667
588,"UBC Laboratory of Molecular Biophysics","Innovation Fund","Institutional Innovation Fund over $350,000","Grant Mauk","Donald Brooks, Donald Douglas, Robert HANCOCK, Charles Haynes, Douglas Kilburn, Grant Mauk, Lawrence McIntosh, Robert Molday, Natalie Strynadka, Stephen Withers","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"biophysics, spectroscopy, kinetics, thermodynamics, molecular recognition, proteins, DNA, carbohydrates, biosurfaces, membranes",1999,30-Mar-99,$2086000
2557,"Advanced High-Speed Microelectronic Characterization","Innovation Fund","Innovation Fund (1999-2005)","Resve Saleh","Douglas Bonn, Mark Greenstreet, Walter Hardy, Andre Ivanov, Michael Jackson, David Pulfrey, Resve Saleh, Matthew Yedlin","British Columbia",Vancouver,University,"The University of British Columbia",,"Electrical engineering, computer engineering, and information engineering","microelectronics, integrated circuits, very large scale integration (VLSI), high-speed circuit characterization, superconductivity, in-circuit probing, system on chip (SOC)",2000,24-Jul-00,$266997
1893,"Advanced Papermaking Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","James Olson","Mark Martinez, James Olson","British Columbia",Vancouver,University,"The University of British Columbia",,"Chemical engineering","paper, papermaking, forest products, paper products",2000,29-Feb-00,$160000
2348,"An Education Information Data Centre for British Columbia","Innovation Fund","Innovation Fund (1999-2005)","David Robitaille","Kadriye Ercikan, Victor Glickman, Jiawei Han, Clyde Hertzman, W. Craig Riddell, David Robitaille, Linda Siegel, Arthur Sweetman, John Willinsky, Jon Douglas Willms","British Columbia",Vancouver,University,"The University of British Columbia",,Education,"Education, educational research, policy research, educational data, labour economics, education/income & health, child development, education information systems, data warehousing and data mining",2000,24-Jul-00,$516213
3820,"Assistant Professor in Molecular Mechanisms of Neurodegeneration","John R. Evans Leaders Fund","On-going New Opportunities Fund","Weihong Song","Timothy Murphy, Lynn Raymond, Peter Reiner, Weihong Song, Steven Vincent","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","Neurodegeneration, Alzheimer's disease, Parkinson's disease, Huntington's disease, stroke, excitotoxicity, genomics, cell biology, molecular biology",2000,12-Oct-00,$160000
2183,"Bio-analytical infrastructure for forest biotechnology and functional genomics.","John R. Evans Leaders Fund","On-going New Opportunities Fund","Joerg Bohlmann","Joerg Bohlmann","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","Forest-Biotechnology, Plant Defense, Plant-Insect Interactions, Functional Genomics, Natural Product Metabolism, Terpenoids, Molecular Biology, Biochemistry, Gas Chromatography, Mass Spectrometry",2000,29-Feb-00,$153900
3765,"Central pathways mediating testosterone effects on hypothalamic responses to stress.","John R. Evans Leaders Fund","On-going New Opportunities Fund","Victor Viau","Victor Viau","British Columbia",Vancouver,University,"The University of British Columbia",,"Rehabilitation medicine","stress, depression, antidepressants, testosterone, androgen replacement therapy, neuroendocrinology, endocrinology, neuroscience, behavior",2000,12-Oct-00,$119384
2319,"Centre for Biological Microscopy and Imaging","Innovation Fund","Innovation Fund (1999-2005)","B. Brett Finlay","Pieter Cullis, B. Brett Finlay, Robert HANCOCK, Peter Hochachka, Wilfred Jefferies, Robert Molday, Nelly Panté, Terrance Snutch, Curtis Suttle, Wolfram Tetzlaff","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","scanning electron microscopy, transmission electron microscopy, cryofixation, freeze substitution, multiphoton confocal microscopy, telepresence collaborations",2000,24-Jul-00,$900000
2545,"Centre for Environmental Research in Minerals, Metals and Materials","Innovation Fund","Innovation Fund (1999-2005)","Malcolm Scoble","William Cullen, David Dreisinger, Kenneth Hall, Leslie Lavkulich, John Meech, Malcolm Scoble, Leslie Smith, Curtis Suttle, Kay Teschke, Gordon Wilson","British Columbia",Vancouver,University,"The University of British Columbia",,"Mining engineering","environmental Quality, bioremediation, reclamation, environmental technology, mine heath and safety, automation and simulation, sustainability",2000,24-Jul-00,$1307411
2371,"Centre for Nutrition Research in Fetal, Infant and Child Development","Innovation Fund","Innovation Fund (1999-2005)","Sheila Innis","Laird Birmingham, Jean-Pierre Chanoine, Lorne Clarke, David Fraser, Jiri Frohlich, Sheila Innis, David Kitts, Gillian Lockitch, John O'Kusky, Joanne Weinberg","British Columbia",Vancouver,University,"The University of British Columbia",,"Human nutrition and dietetics","maternal-fetal-infant nutrition & metabolism,fetal & child development, life cycle disease prevention/intervention,nutrient-gene interactions, phenotype-genotype,structural function relations,therapeutic nutrition",2000,24-Jul-00,$2253662
2614,"Centre for Studies in Autobiography, Gender, and Age (SAGA)","Innovation Fund","Innovation Fund (1999-2005)","Valerie Raoul","Jean Barman, Isabel Dyck, Susanna Egan, Sherrill Grace, Janice Graham, Angela Henderson, Susan Penfold, Valerie Raoul, Veronica Strong-Boag, Patricia Vertinsky","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","interdisciplinary, Canada, women, autobiography, narrative, health, minorities, immigration",2000,24-Jul-00,$100000
2573,"CGDN and UBC Bioinformatics Infrastructure (CUBI)","Innovation Fund","Innovation Fund (1999-2005)","Francis Ouellette","Roy Gravel, Michael Hayden, Philip Hieter, Thomas Hudson, Steven Jones, Dixie Mager, Marco Marra, Francis Ouellette, Ann Rose, Elizabeth Simpson","British Columbia",Vancouver,University,"The University of British Columbia","Children's and Women's Health Centre of British Columbia","Cell biology","Bioinformatics, database development, high performance computing, functional genomics, pathogenomics, comparative genomics, behavioural databases, biomolecular interaction network database",2000,24-Jul-00,$517164
2618,"Earthquake Engineering Research Facility","Innovation Fund","Innovation Fund (1999-2005)","Carlos Ventura","Perry Adebar, Peter Byrne, Liam Finn, Ricardo Foschi, Michael Isaacson, Helmut Prion, Robert Sexsmith, Siegfried Stiemer, Yoginder Vaid, Carlos Ventura","British Columbia",Vancouver,University,"The University of British Columbia",,"Civil engineering","earthquake engineering, seismic risk, shake table experiments, quasi-static testing",2000,24-Jul-00,$998644
2585,"Engineering of Processes and Materials in the Wake of Kyoto","Innovation Fund","Innovation Fund (1999-2005)","Anoush Poursartip","Dan Bizzotto, Steven Cockcroft, John Grace, Geoffrey Kelsall, Matthias Militzer, Warren Poole, Anoush Poursartip, Martha Salcudean, Indira Samarasekera, Tom Troczynski","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","energy, materials, characterization, microstructure, processing, mathematical modelling, waste reduction and treatment, life cycle analysis, optimization",2000,24-Jul-00,$1222270
3806,"Environmental Bioaerosol Exposure Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Karen Bartlett","Karen Bartlett","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","indoor air quality, environment, bioaerosols, microbial contamination, exposure assessment, fungal contamination, mycology, environmental microbiology",2000,12-Oct-00,$114037
2414,"Environmental Biotechnology Facility: new and integrated approaches to understanding and exploiting microbial potential for bioremediation and green chemistry","Innovation Fund","Innovation Fund (1999-2005)","William Mohn","John Beatty, Julian Davies, Patrick Dennis, Lindsay Eltis, Grant Mauk, William Mohn, Michael Murphy, John Smit, Stephen Withers","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","microbial transformation, pollutant biodegradation, green chemistry, enzymology, biocatalyst design, protein production, microbial metabolism, microbial ecology, protein purification, analytical chemistry",2000,24-Jul-00,$882377
3328,"Fisheries ecosystems research laboratory","Innovation Fund","Innovation Fund (1999-2005)","Daniel Pauly","Jo-Ann Archibald, Michael Healey, George Iwama, Leslie Lavkulich, Ralph Matthews, Gordon Munro, Daniel Pauly, Tony Pitcher, Andrew Trites, Carl Walters","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","Oceans, Fishery, Ecosystem, Community, Statistics, Modeling, Aquaculture, Sociology, environment, economics.",2000,24-Jul-00,$4250000
3240,"Genotype-Phenotype Associations in Human Inflammatory Airway Disease:  Recruitment of two new scientists to a multidisciplinary team.","John R. Evans Leaders Fund","On-going New Opportunities Fund","Andrew Sandford","Delbert Dorscheid, Andrew Sandford","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","Genotype-Phenotype, airways, asthma, genetics, emphysema, COPD, lung , quantitative PCR, flow cytometry and cell sorting, ELISA, Laser-Capture Microdissection.",2000,30-May-00,$160386
2407,"Geophysical Disaster Computational Fluid Dynamics Centre","Innovation Fund","Innovation Fund (1999-2005)","Roland Stull","Susan Allen, Phil Austin, Andrew Black, Terry Clark, Michael Foreman, David Mcclung, Daniel Moore, Timothy Oke, Douw Steyn, Roland Stull","British Columbia",Vancouver,University,"The University of British Columbia",,"Atmospheric sciences","computational fluid dynamics, numerical weather prediction, natural disaster, geophysical flows, avalanches, forest fires, air pollution, cyclones",2000,24-Jul-00,$553815
2396,"High Resolution Functional Imaging in Neurodegenerative Diseases","Innovation Fund","Innovation Fund (1999-2005)","Thomas Ruth","Donald Calne, Doris  Doudet, Peter Liddle, Christian Moisan, Anthony Phillips, Thomas Ruth, Vesna Sossi, A. Jon Stoessl, Lakshmi Yatham","British Columbia",Vancouver,University,"The University of British Columbia",TRIUMF,"Neurosciences, medical and physiological and health aspects","Functional Imaging, neurodegenerative disease, schizophrenia, mood disorders, positron emission tomography, pharmacological intervention, ageing",2000,24-Jul-00,$1550000
3075,"ICICS - Institute for computing, information and cognitive systems","Innovation Fund","Innovation Fund (1999-2005)","Rabab Ward","Rabab Ward","British Columbia",Vancouver,University,"The University of British Columbia",,"Communication and media studies","Human communications technology, multi-agent information systems, cognitive sciences",2000,24-Jul-00,$8855000
3827,"Laboratory for Antimicrobial Therapy","John R. Evans Leaders Fund","On-going New Opportunities Fund","François Jean","François Jean","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","Antipathogenic agents, protein-based therapeutics, viral diseases, Hepatitis C virus (HCV), influenza A virus, herpesvirus, activating proteases, HCV NS3 serine protease, subtilisin-like proprotein convertases (PCs)",2000,12-Oct-00,$142922
2745,"Laboratory for Functional Genomics (LFG): The Mouse as a Model Organism for the Study of Human Genetic Disease and Disease Susceptibility","Innovation Fund","Innovation Fund (1999-2005)","Elizabeth Simpson","Susan Andrew, Michael Hayden, Frank Jirik, David MacLennan, Nancy Sherwood, Elizabeth Simpson, Poul Sorensen, David Speert, Barbara Triggs-Raine, C. Bruce Verchere","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","Mouse Models, Transgenics, Behaviour, Phenotyping, Violence, Aggression, Anxiety, Hyperactivity, Learning and Memory, Development.",2000,24-Jul-00,$2762535
3801,"Laboratory for Imaging Intracellular Trafficking of Macromolecules and Viruses","John R. Evans Leaders Fund","On-going New Opportunities Fund","Nelly Panté","Nelly Panté","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","cell biology, intracellular trafficking, nuclear transport, nuclear pore complex, virus transport, hepatitis B, microinjection, fluorescence microscopy, electon microscopy, imaging",2000,12-Oct-00,$237138
3817,"Laboratory for the Study of Parallel Synthetic Chemistry","John R. Evans Leaders Fund","On-going New Opportunities Fund","Gregory Dake","Gregory Dake, Derek Gates","British Columbia",Vancouver,University,"The University of British Columbia",,"Organic chemistry","parallel processing, synthesis, characterization, organic chemistry, inorganic chemistry, catalysis, polymers",2000,12-Oct-00,$120000
2198,"Laboratory of Comparative Molecular Parasitology","John R. Evans Leaders Fund","On-going New Opportunities Fund","Patrick Keeling","Patrick Keeling","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","molecular biology, parasitology, protistology, molecular phylogeny, single-cell isolation, molecular evolution, apicomplexa, microsporidia",2000,29-Feb-00,$138544
3017,"Mouse Behaviour Testing Facility:  Functional Genomics, Phenotyping, and Models of Mental Illness","John R. Evans Leaders Fund","On-going New Opportunities Fund","Elizabeth Simpson","Elizabeth Simpson","British Columbia",Vancouver,University,"The University of British Columbia",,"Rehabilitation medicine","Mouse Models, Transgenics, Behaviour, Phenotyping, Violence, Aggression, Anxiety, Hyperactivity, Learning and Memory, Development.",2000,29-Feb-00,$180387
2665,"PACIFIC CENTRE FOR ADVANCED MATERIALS AND MICROSTRUCTURES","Innovation Fund","Innovation Fund (1999-2005)","Jeff Young","Bretislav Heinrich, Ross Hill, Steven Holdcroft, Karen Kavanagh, Geoffrey Kelsall, Matthias Militzer, Keith Mitchell, Thomas Tiedje, Simon Watkins, Jeff Young","British Columbia",Vancouver,University,"The University of British Columbia","Simon Fraser University","Materials engineering and resources engineering","semiconductors, mangetic materials, dielectrics, metals, growth, characterization, lithography, microscopy, spectroscopy",2000,24-Jul-00,$3401006
3789,"Processing of composite materials","John R. Evans Leaders Fund","On-going New Opportunities Fund","Goran Fernlund","Goran Fernlund, Thomas Oxland","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","Processing, polymer composites, constitutive behaviour, mathematical modeling, residual stresses, process induced deformations",2000,12-Oct-00,$63941
3013,"Support Equipment for Industrial Research Chair in High-Speed Microelectronics","John R. Evans Leaders Fund","On-going New Opportunities Fund","Resve Saleh","Resve Saleh","British Columbia",Vancouver,University,"The University of British Columbia",,"Electrical engineering, computer engineering, and information engineering","microelectronics, integrated circuits, design, high speed",2000,30-May-00,$200000
